ProjectUID,ProjectName,ProjectStartDate,ProjectEndDate,ProjectedHoursEndDate,TotalBudget,BudgetedBillingAdjustedRevenueAtCompletion,ActualBillingAdjustedRevenueToDate,ScheduledRevenue_Month1,ScheduledRevenue_Month2,ScheduledRevenue_Month3,ScheduledRevenue_Month4,ScheduledRevenue_Month5,ScheduledRevenue_Month6,ActualRevenue_Month1,ActualRevenue_Month2,ActualRevenue_Month3,ProjectStatus,HoursBudgetAlertLevel
PRJ-001,Website Redesign,2026-01-01,2026-06-30,2026-06-30,120000,120000,45000,20000,20000,20000,20000,10000,0,20000,20000,5000,Active,Green
PRJ-002,Mobile App Development,2025-12-01,2026-05-31,2026-05-31,250000,250000,180000,40000,40000,50000,50000,40000,30000,45000,50000,55000,Active,Green
PRJ-003,Data Migration,2026-02-01,2026-07-31,2026-07-31,80000,80000,15000,0,15000,15000,15000,15000,10000,0,15000,0,Active,Yellow
PRJ-004,Cloud Infrastructure,2025-11-01,2026-04-30,2026-04-30,300000,300000,275000,50000,50000,50000,50000,50000,50000,55000,60000,80000,Active,Red
PRJ-005,ERP Implementation,2026-01-15,2026-08-31,2026-08-31,500000,500000,85000,50000,60000,70000,80000,90000,100000,45000,40000,0,Active,Yellow
PRJ-006,Security Audit,2026-03-01,2026-05-31,2026-05-31,45000,45000,0,0,0,15000,15000,15000,0,0,0,0,Active,Green
PRJ-007,API Gateway,2025-10-01,2026-03-31,2026-03-31,180000,180000,165000,30000,30000,30000,30000,30000,30000,35000,40000,45000,Active,Red
PRJ-008,Analytics Dashboard,2026-02-15,2026-08-15,2026-08-15,95000,95000,8000,0,10000,15000,20000,20000,20000,0,8000,0,Active,Green
PRJ-009,Customer Portal,2025-09-01,2026-02-28,2026-02-28,200000,200000,195000,35000,35000,35000,35000,30000,30000,40000,42000,48000,Active,Yellow
PRJ-010,DevOps Pipeline,2026-01-01,2026-04-30,2026-04-30,60000,60000,22000,15000,15000,15000,15000,0,0,12000,10000,0,Active,Yellow
